Plot,Number,Spp,LiveDead,Diam,DecayClass,HeightClass,Cones,MortalityCause1,MortalityCause2,MortalityCause3,DMR,BranchesBole,PreviousCurrent,PerDeadCrown,Easting,Northing,Cored,Misc
DES105,5,Pimo,L,42,,6,1,IPS,RWB,MT,3,Branches,Previous,20,443824.018,4371522.403,1,
DES105,6,Pimo,L,14,,4,0,,RWB,,0,Branches,Previous,40,443810.018,4371527.403,,
DES105,7,Pimo,L,28,,5,0,IPS,RWB,MT,3,Branches,Previous,40,443812.018,4371524.403,,
DES105,8,Pimo,D,30,1,5,,IPS,RWB,MT,,Both,Previous,100,443814.018,4371522.403,,
DES105,9,Pimo,D,14,1,3,,IPS,RWB,MT,,Both,Previous,100,443814.018,4371523.403,,
DES105,10,Pimo,D,13,2,3,,,RWB,MT,,Both,Previous,100,443820.018,4371522.403,,
DES105,11,Pimo,D,24,1,4,,IPS,RWB,MT,,Both,Previous,100,443822.018,4371524.403,,
DES105,12,Pimo,L,20,,4,1,IPS,RWB,MT,3,Branches,Previous,20,443809.018,4371524.403,,
DES105,13,Pimo,D,18,1,4,,IPS,RWB,,,Bole,Previous,100,443810.018,4371525.403,,
DES105,14,Pimo,D,34,1,6,,IPS,RWB,MT,,Both,Previous,100,443807.018,4371537.403,,
DES105,15,Pimo,L,13,,2,0,,,MT,3,,,10,443802.018,4371535.403,,
DES105,16,Pimo,D,20,1,5,,IPS,RWB,MT,,Both,Previous,100,443806.018,4371530.403,,
DES105,17,Pimo,D,18,1,5,,IPS,RWB,MT,,Bole,Previous,100,443807.018,4371528.403,,
DES105,18,Pimo,D,20,1,5,,IPS,RWB,MT,,Bole,Previous,100,443805.018,4371523.403,,
DES105,19,Pimo,D,10,1,1,,IPS,RWB,MT,,Bole,Previous,100,443804.018,4371524.403,,
DES105,20,Pimo,L,14,,4,0,,,MT,3,,,5,443800.018,4371522.403,,
DES105,21,Pimo,L,22,,5,1,,RWB,MT,3,Branches,Previous,15,443799.018,4371524.403,,
DES105,22,Pimo,L,7,,2,0,,,MT,3,,,10,443796.018,4371526.403,,
DES105,23,Pimo,D,8,1,1,,,RWB,MT,,Bole,Previous,100,443798.018,4371529.403,,
DES105,24,Pimo,D,9,2,1,,IPS,RWB,MT,,Both,Previous,100,443796.018,4371522.403,,
DES105,25,Pimo,L,6,,1,0,IPS,RWB,,0,Branches,Previous,50,443795.018,4371519.403,,
DES105,26,Pimo,L,9,,1,0,,,,0,,,0,443797.018,4371521.403,,
